layer,split,c_value,l1_ratio,threshold,auroc,average_precision,balanced_accuracy,precision,recall,specificity,step_f1,brier_score,log_loss,expected_calibration_error,error_accuracy,correct_accuracy,process_f1,first_error_exact,error_detection_rate,error_miss_rate,correct_false_alarm_rate,early_detection_rate,on_time_detection_rate,late_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_0_accuracy,error_within_1_accuracy,error_within_2_accuracy
10,validation,0.01,,0.6,0.8223282063445976,0.7818003070198359,0.7354621037693796,0.7370579190158892,0.655125284738041,0.8157989228007181,0.693680656054028,0.1732653809472017,0.5196728202305319,0.04538017116773318,0.2882882882882883,0.44635193133047213,0.3503157894736842,0.34268833087149186,0.8761261261261262,0.12387387387387387,0.5536480686695279,0.18693693693693694,0.2882882882882883,0.4009009009009009,0.6066838046272494,1.5526992287917738,0.2882882882882883,0.5405405405405406,0.6779279279279279
10,test,0.01,,0.6,0.8290877445661238,0.7939408303079253,0.7374753169147893,0.728407388916625,0.6689591930307198,0.8059914407988588,0.6974187380497131,0.17086221758766218,0.5129230577378339,0.05143373629009884,0.2523148148148148,0.48523206751054854,0.3319958152900825,0.33482810164424515,0.8773148148148148,0.12268518518518519,0.5147679324894515,0.19675925925925927,0.2523148148148148,0.42824074074074076,0.5883905013192612,1.6385224274406331,0.2523148148148148,0.5254629629629629,0.6782407407407407
10,test_error_traces,0.01,,0.6,0.853201420511988,0.9108314755384532,0.7555088777930884,0.8912645082467929,0.6689591930307198,0.842058562555457,0.7642744892613935,0.15910361576620258,0.48524921051235576,0.11035942841246948,0.2523148148148148,,0.0,0.2523148148148148,0.8773148148148148,0.12268518518518519,,0.19675925925925927,0.2523148148148148,0.42824074074074076,0.5883905013192612,1.6385224274406331,0.2523148148148148,0.5254629629629629,0.6782407407407407
11,validation,0.01,,0.69,0.8244830956597131,0.7845179756808491,0.7193724107752645,0.7644230769230769,0.579498861047836,0.859245960502693,0.6592381445970459,0.17368980446378854,0.5225681767329227,0.05413463273136999,0.25675675675675674,0.5321888412017167,0.346394177754907,0.3515509601181684,0.8468468468468469,0.15315315315315314,0.4678111587982833,0.15090090090090091,0.25675675675675674,0.4391891891891892,0.8031914893617021,1.5797872340425532,0.25675675675675674,0.5067567567567568,0.6711711711711712
11,test,0.01,,0.69,0.8377911688352462,0.8054053148582747,0.7320514971407193,0.7885326757090012,0.5864282439248051,0.8776747503566333,0.6726268735209046,0.1660758424806275,0.5013872079596519,0.05498822303433783,0.24074074074074073,0.6033755274261603,0.34416365824308065,0.3692077727952167,0.8356481481481481,0.16435185185185186,0.39662447257383965,0.13425925925925927,0.24074074074074073,0.46064814814814814,0.9418282548476454,1.6398891966759004,0.24074074074074073,0.5046296296296297,0.6504629629629629
11,test_error_traces,0.01,,0.69,0.8596843677366885,0.9151776484030018,0.7435246809686138,0.9194823867721064,0.5864282439248051,0.9006211180124224,0.7161254199328108,0.15586999870212923,0.4783964146935752,0.10852226705316198,0.24074074074074073,,0.0,0.24074074074074073,0.8356481481481481,0.16435185185185186,,0.13425925925925927,0.24074074074074073,0.46064814814814814,0.9418282548476454,1.6398891966759004,0.24074074074074073,0.5046296296296297,0.6504629629629629
12,validation,0.01,,0.5349999999999999,0.8279198275826813,0.7891403991263288,0.7424941621033604,0.7072515666965085,0.7198177676537585,0.7651705565529623,0.7134793407089636,0.171493551477102,0.5159775881736698,0.0493401225929238,0.27927927927927926,0.3905579399141631,0.325675363657354,0.3175775480059084,0.9346846846846847,0.06531531531531531,0.6094420600858369,0.25900900900900903,0.27927927927927926,0.3963963963963964,0.21927710843373494,1.4240963855421687,0.27927927927927926,0.6126126126126126,0.7635135135135135
12,test,0.01,,0.5349999999999999,0.8357612528378598,0.8053314584455842,0.7493189463404935,0.7072310405643739,0.7354424575882622,0.7631954350927247,0.7210609125646212,0.16759650998366635,0.5035839081954651,0.05656199305377881,0.25,0.3628691983122363,0.29604130808950085,0.28998505231689087,0.9143518518518519,0.08564814814814815,0.6371308016877637,0.2569444444444444,0.25,0.4074074074074074,0.22784810126582278,1.5139240506329115,0.25,0.5763888888888888,0.7361111111111112
12,test_error_traces,0.01,,0.5349999999999999,0.8586583248812952,0.915133361773274,0.7687860025297123,0.8779419813902573,0.7354424575882622,0.8021295474711624,0.8003992015968064,0.15688313300264392,0.47910680413212603,0.10919826365977013,0.25,,0.0,0.25,0.9143518518518519,0.08564814814814815,,0.2569444444444444,0.25,0.4074074074074074,0.22784810126582278,1.5139240506329115,0.25,0.5763888888888888,0.7361111111111112
13,validation,0.01,,0.62,0.8273590623376942,0.7859056963061366,0.7343251964027924,0.7456279809220986,0.6410022779043281,0.8276481149012568,0.6893679568838804,0.17126851614980218,0.5156598069042957,0.046528086794785414,0.26126126126126126,0.45064377682403434,0.33076254616554424,0.32644017725258495,0.8941441441441441,0.10585585585585586,0.5493562231759657,0.20045045045045046,0.26126126126126126,0.43243243243243246,0.6574307304785895,1.614609571788413,0.26126126126126126,0.5540540540540541,0.6914414414414415
